"Comparison"	"GeneID"	"Symbol"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"
"Ctrl_Res_Sens"	6229	"RPS24"	1.03020111512632	11.6982967259461	3.34551163304415	0.00112977928729108	0.0281997173425918
"Ctrl_Res_Sens"	23382	"AHCYL2"	-1.9535575545687	3.42572829973902	-3.34452014732095	0.00113344176086966	0.0282223034454101
"Ctrl_Res_Sens"	4093	"SMAD9"	2.56081628093048	2.09062833372026	3.34404896761168	0.00113518616113077	0.0282223034454101
"Ctrl_Res_Sens"	54462	"CCSER2"	1.14198792441168	5.51185451238644	3.34353704143764	0.00113708426460077	0.0282223034454101
"Ctrl_Res_Sens"	374969	"SVBP"	-1.10552994895956	4.71580326737144	-3.34009826985281	0.00114991173271403	0.0284788571828082
"Ctrl_Res_Sens"	1670	"DEFA5"	-4.68662419200396	1.24602714410249	-3.33857431612759	0.00115563971125241	0.0284788571828082
"Ctrl_Res_Sens"	25859	"PART1"	3.55423689278575	1.81095702145625	3.33847130393028	0.00115602785909991	0.0284788571828082
"Ctrl_Res_Sens"	2162	"F13A1"	2.99971745281086	-0.0643208937992512	3.33672488281144	0.0011626269572137	0.0284788571828082
"Ctrl_Res_Sens"	8915	"BCL10"	-1.45383900078276	4.9746872217429	-3.33619320846049	0.00116464296136513	0.0284788571828082
"Ctrl_Res_Sens"	51110	"LACTB2"	-1.58056480560552	5.33743451580576	-3.33263765049142	0.00117820935619947	0.0287574383268685
"Ctrl_Res_Sens"	29957	"SLC25A24"	-1.00623197259644	6.67155158917364	-3.32472391522672	0.00120893780798928	0.0293989673931805
"Ctrl_Res_Sens"	9349	"RPL23"	1.01886565405096	10.6915576658918	3.3223509375491	0.00121829717804342	0.0295722080152962
"Ctrl_Res_Sens"	29985	"SLC39A3"	1.20375236264591	3.86174368360357	3.32041839423966	0.00122596949632039	0.0297039385839239
"Ctrl_Res_Sens"	79668	"PARP8"	3.44126789259571	0.264293906474276	3.31917844050237	0.00123091599228442	0.0297692644642241
"Ctrl_Res_Sens"	27434	"POLM"	1.33499564668912	3.01716473327786	3.31171839420749	0.00126107266058134	0.0303810080042207
"Ctrl_Res_Sens"	7113	"TMPRSS2"	-1.46384417260365	4.83271447865775	-3.31122280564698	0.00126310034033724	0.0303810080042207
"Ctrl_Res_Sens"	11197	"WIF1"	6.34770433991966	1.22099085245084	3.30780884657025	0.00127715154749679	0.0306632265369057
"Ctrl_Res_Sens"	9610	"RIN1"	1.56559170649538	3.39265567819134	3.30581569591441	0.00128542247602235	0.0308058948103254
